model;pl_score;pl_answers;Coding;Extraction;Humanities;Math;Reasoning;Roleplay;STEM;Writing
Qwen2.5-3B-Instruct;6.35;1.0;5.0;8.45;7.85;6.4;4.25;6.55;6.75;5.55
Phi-3.5-mini-instruct;5.56;1.0;4.2;6.8;7.9;4.5;4.95;4.65;6.85;4.65
Hermes-3-Llama-3.2-3B;5.54;1.0;4.45;5.3;8.05;3.7;3.1;6.75;6.95;6.0
Llama-3.2-3B-Instruct;4.95;1.0;4.4;6.225;7.15;4.5;2.7;5.3;4.85;4.45
Qwen2.5-1.5B-Instruct;3.3;1.0;3.95;5.75;3.45;3.45;2.6;2.55;2.15;2.7
EuroLLM-1.7B-Instruct;3.01;1.0;1.7;2.25;3.25;1.1;2.65;4.6;4.65;3.9
granite-3.0-2b-instruct;2.03;1.0;3.05;3.45;1.45;1.95;1.55;1.3;1.45;2.1
Llama-3.2-1B-Instruct;1.61;1.0;1.65;1.6;1.4;2.6;1.3;1.65;1.3;1.4
SmolLM2-1.7B-Instruct;1.58;1.0;1.75;2.75;1.85;1.8;1.1;1.0;1.35;1.05
Llama-PLLuM-70B-chat;6.75;1.0;4.8;9.45;8.8;2.9;5.2;6.6;8.2;8.05
PLLuM-12B-nc-chat;6.47;1.0;4.55;7.2;9.5;2.3;4.8;6.75;9.1;7.55
PLLuM-8x7B-nc-chat;6.43;1.0;4.1;8.4;7.475;3.35;4.95;6.9;8.9;7.4
PLLuM-8x7B-chat;6.3;1.0;4.55;8.0;8.6;3.45;4.9;6.25;8.2;7.1
Llama-PLLuM-8B-chat;6.05;1.0;3.65;6.3;9.5;2.75;5.35;6.15;7.5;7.2
PLLuM-12B-chat;5.81;1.0;3.05;6.55;9.3;2.65;3.9;5.0;8.0;8.0
phi-4;9.07;1.0;7.6;9.3;9.95;7.7;9.55;9.2;10.;9.25
Qwen2.5-32B-Instruct;8.86;1.0;7.95;9.9;9.65;7.6;9.1;8.3;9.7;8.65
Mistral-Small-24B-Instruct-2501;8.72;1.0;7.95;9.9;9.7;7.825;7.9;9.05;9.5;7.95
aya-expanse-32b;8.62;1.0;5.75;8.4;10.;6.6;8.95;9.7;9.95;9.60
Qwen2.5-14B-Instruct;8.33;1.0;6.7;9.25;9.175;8.1;7.55;8.5;9.6;7.75
Mistral-Small-Instruct-2409;8.56;1.0;7.1;9.15;10.;7.;7.9;8.9;9.65;8.80
gemma-3-27b-it;9.28;1.0;8.1;9.9;10.0;8.25;8.4;9.95;9.95;9.7
Mistral-Small-3.1-24B-Instruct-2503;9.18;1.0;8.3;9.8;10.0;7.85;9.0;9.4;9.9;9.15
gemma-3-12b-it;8.97;1.0;8.25;9.55;10.0;7.45;7.75;9.45;10.0;9.3
gemma-3-4b-it;8.22;1.0;5.4;8.4;9.9;7.4;6.25;9.45;9.65;9.3
gemma-3-1b-it;5.46;1.0;3.35;4.87;8.5;4.05;3.5;6.25;7.1;6.05
